Código,Distrito,Sí tiene conexión a internet,No tiene conexión a internet
90502,"Huancavelica, Churcampa, distrito: Anco",10,   1 561
90503,"Huancavelica, Churcampa, distrito: Chinchihuasi",1,678
90504,"Huancavelica, Churcampa, distrito: El Carmen",11,719
90505,"Huancavelica, Churcampa, distrito: La Merced",0,383
90506,"Huancavelica, Churcampa, distrito: Locroja",1,   1 019
90507,"Huancavelica, Churcampa, distrito: Paucarbamba",6,   1 443
90508,"Huancavelica, Churcampa, distrito: San Miguel de Mayocc",3,249
90509,"Huancavelica, Churcampa, distrito: San Pedro de Coris",36,867
90510,"Huancavelica, Churcampa, distrito: Pachamarca",0,616
90511,"Huancavelica, Churcampa, distrito: Cosme",2,779
90601,"Huancavelica, Huaytará, distrito: Huaytará",28,789
90602,"Huancavelica, Huaytará, distrito: Ayavi",0,332
90603,"Huancavelica, Huaytará, distrito: Cordova",0,423
90604,"Huancavelica, Huaytará, distrito: Huayacundo Arma",0,179
90605,"Huancavelica, Huaytará, distrito: Laramarca",1,312
90606,"Huancavelica, Huaytará, distrito: Ocoyo",4,232
90607,"Huancavelica, Huaytará, distrito: Pilpichaca",2,947
90608,"Huancavelica, Huaytará, distrito: Querco",0,424
90609,"Huancavelica, Huaytará, distrito: Quito-Arma",3,294
90610,"Huancavelica, Huaytará, distrito: San Antonio de Cusicancha",1,467
90611,"Huancavelica, Huaytará, distrito: San Francisco de Sangayaico",0,304
90612,"Huancavelica, Huaytará, distrito: San Isidro",0,386
90613,"Huancavelica, Huaytará, distrito: Santiago de Chocorvos",0,691
90614,"Huancavelica, Huaytará, distrito: Santiago de Quirahuara",0,171
90615,"Huancavelica, Huaytará, distrito: Santo Domingo de Capillas",0,325
90616,"Huancavelica, Huaytará, distrito: Tambo",1,265
90701,"Huancavelica, Tayacaja, distrito: Pampas",179,   2 673
90702,"Huancavelica, Tayacaja, distrito: Acostambo",23,   1 033
90703,"Huancavelica, Tayacaja, distrito: Acraquia",4,   1 139
90704,"Huancavelica, Tayacaja, distrito: Ahuaycha",0,   1 186
90705,"Huancavelica, Tayacaja, distrito: Colcabamba",38,   3 362
90706,"Huancavelica, Tayacaja, distrito: Daniel Hernández",241,   2 350
90707,"Huancavelica, Tayacaja, distrito: Huachocolpa",0,985
90709,"Huancavelica, Tayacaja, distrito: Huaribamba",1,   1 034
90710,"Huancavelica, Tayacaja, distrito: Ñahuimpuquio",4,486
90711,"Huancavelica, Tayacaja, distrito: Pazos",37,   1 549
90713,"Huancavelica, Tayacaja, distrito: Quishuar",0,264
90714,"Huancavelica, Tayacaja, distrito: Salcabamba",2,   1 235
90715,"Huancavelica, Tayacaja, distrito: Salcahuasi",0,870
90716,"Huancavelica, Tayacaja, distrito: San Marcos de Rocchac",37,613
90717,"Huancavelica, Tayacaja, distrito: Surcubamba",2,   1 426
90718,"Huancavelica, Tayacaja, distrito: Tintay Puncu",19,914
90719,"Huancavelica, Tayacaja, distrito: Quichuas",42,   1 058
90720,"Huancavelica, Tayacaja, distrito: Andaymarca",2,681
90721,"Huancavelica, Tayacaja, distrito: Roble",1,373
90722,"Huancavelica, Tayacaja, distrito: Pichos",1,581
90723,"Huancavelica, Tayacaja, distrito: Santiago de Tucuma",0,471
100101,"Huánuco, Huánuco, distrito: Huánuco",   6 015,   17 762
100102,"Huánuco, Huánuco, distrito: Amarilis",   5 760,   16 092
100103,"Huánuco, Huánuco, distrito: Chinchao",41,   4 059
100104,"Huánuco, Huánuco, distrito: Churubamba",7,   4 868
100105,"Huánuco, Huánuco, distrito: Margos",7,   1 345
100106,"Huánuco, Huánuco, distrito: Quisqui (Kichki)",14,   1 103
100107,"Huánuco, Huánuco, distrito: San Francisco de Cayran",6,   1 578
100108,"Huánuco, Huánuco, distrito: San Pedro de Chaulan",14,839
100109,"Huánuco, Huánuco, distrito: Santa Maria del Valle",162,   5 512
100110,"Huánuco, Huánuco, distrito: Yarumayo",1,531
100111,"Huánuco, Huánuco, distrito: Pillco Marca",   1 999,   8 960
100112,"Huánuco, Huánuco, distrito: Yacus",0,   1 809
100113,"Huánuco, Huánuco, distrito: San Pablo de Pillao",69,   2 207
100201,"Huánuco, Ambo, distrito: Ambo",539,   5 327
100202,"Huánuco, Ambo, distrito: Cayna",0,847
100203,"Huánuco, Ambo, distrito: Colpas",9,548
100204,"Huánuco, Ambo, distrito: Conchamarca",85,   1 281
100205,"Huánuco, Ambo, distrito: Huacar",77,   2 080
100206,"Huánuco, Ambo, distrito: San Francisco",15,451
100207,"Huánuco, Ambo, distrito: San Rafael",16,   2 578
100208,"Huánuco, Ambo, distrito: Tomay Kichwa",77,936
100301,"Huánuco, Dos de Mayo, distrito: La Unión",99,   1 858
100307,"Huánuco, Dos de Mayo, distrito: Chuquis",3,   1 027
100311,"Huánuco, Dos de Mayo, distrito: Marías",1,   1 533
100313,"Huánuco, Dos de Mayo, distrito: Pachas",40,   1 702
100316,"Huánuco, Dos de Mayo, distrito: Quivilla",2,434
100317,"Huánuco, Dos de Mayo, distrito: Ripan",26,   1 308
100321,"Huánuco, Dos de Mayo, distrito: Shunqui",0,563
100322,"Huánuco, Dos de Mayo, distrito: Sillapata",2,633
100323,"Huánuco, Dos de Mayo, distrito: Yanas",3,694
100401,"Huánuco, Huacaybamba, distrito: Huacaybamba",19,   1 530
100402,"Huánuco, Huacaybamba, distrito: Canchabamba",0,732
100403,"Huánuco, Huacaybamba, distrito: Cochabamba",3,456
100404,"Huánuco, Huacaybamba, distrito: Pinra",13,   1 671
100501,"Huánuco, Huamalíes, distrito: Llata",142,   3 605
100502,"Huánuco, Huamalíes, distrito: Arancay",3,376
100503,"Huánuco, Huamalíes, distrito: Chavín de Pariarca",50,   1 152
100504,"Huánuco, Huamalíes, distrito: Jacas Grande",5,   1 584
100505,"Huánuco, Huamalíes, distrito: Jircan",0,376
100506,"Huánuco, Huamalíes, distrito: Miraflores",5,832
100507,"Huánuco, Huamalíes, distrito: Monzón",19,   4 099
100508,"Huánuco, Huamalíes, distrito: Punchao",2,594
100509,"Huánuco, Huamalíes, distrito: Puños",0,   1 164
100510,"Huánuco, Huamalíes, distrito: Singa",3,896
100511,"Huánuco, Huamalíes, distrito: Tantamayo",0,571
100601,"Huánuco, Leoncio Prado, distrito: Rupa-Rupa",   3 985,   9 692
100602,"Huánuco, Leoncio Prado, distrito: Daniel Alomía Robles",6,   1 868
100603,"Huánuco, Leoncio Prado, distrito: Hermílio Valdizan",44,995
100604,"Huánuco, Leoncio Prado, distrito: José Crespo y Castillo",887,   5 524
100605,"Huánuco, Leoncio Prado, distrito: Luyando",207,   2 252
100606,"Huánuco, Leoncio Prado, distrito: Mariano Damaso Beraun",105,   2 991
100607,"Huánuco, Leoncio Prado, distrito: Pucayacu",11,   1 130
100608,"Huánuco, Leoncio Prado, distrito: Castillo Grande",740,   2 958
100609,"Huánuco, Leoncio Prado, distrito: Pueblo Nuevo",22,   1 247
100610,"Huánuco, Leoncio Prado, distrito: Santo Domingo de Anda",4,850
100701,"Huánuco, Marañón, distrito: Huacrachuco",34,   3 802
100702,"Huánuco, Marañón, distrito: Cholon",20,   1 510
100703,"Huánuco, Marañón, distrito: San Buenaventura",0,551
100704,"Huánuco, Marañón, distrito: La Morada",12,846
100705,"Huánuco, Marañón, distrito: Santa Rosa de Alto Yanajanca",4,645
100801,"Huánuco, Pachitea, distrito: Panao",234,   4 568
100802,"Huánuco, Pachitea, distrito: Chaglla",28,   2 970
100803,"Huánuco, Pachitea, distrito: Molino",102,   2 872
100804,"Huánuco, Pachitea, distrito: Umari",18,   3 188
100901,"Huánuco, Puerto Inca, distrito: Puerto Inca",74,   2 524
100902,"Huánuco, Puerto Inca, distrito: Codo del Pozuzo",24,   1 955
100903,"Huánuco, Puerto Inca, distrito: Honoria",5,   1 304
100904,"Huánuco, Puerto Inca, distrito: Tournavista",15,   1 392
100905,"Huánuco, Puerto Inca, distrito: Yuyapichis",15,   1 615
101001,"Huánuco, Lauricocha, distrito: Jesús",19,   1 384
101002,"Huánuco, Lauricocha, distrito: Baños",11,620
101003,"Huánuco, Lauricocha, distrito: Jivia",0,374
101004,"Huánuco, Lauricocha, distrito: Queropalca",0,283
101005,"Huánuco, Lauricocha, distrito: Rondos",32,   1 115
101006,"Huánuco, Lauricocha, distrito: San Francisco de Asís",2,456
101007,"Huánuco, Lauricocha, distrito: San Miguel de Cauri",4,   1 295
101101,"Huánuco, Yarowilca, distrito: Chavinillo",39,   1 483
101102,"Huánuco, Yarowilca, distrito: Cahuac",1,393
101103,"Huánuco, Yarowilca, distrito: Chacabamba",0,374
101104,"Huánuco, Yarowilca, distrito: Aparicio Pomares",1,   1 548
101105,"Huánuco, Yarowilca, distrito: Jacas Chico",0,360
101106,"Huánuco, Yarowilca, distrito: Obas",18,   1 277
101107,"Huánuco, Yarowilca, distrito: Pampamarca",0,413
101108,"Huánuco, Yarowilca, distrito: Choras",2,646
110101,"Ica, Ica, distrito: Ica",   19 424,   22 313
110102,"Ica, Ica, distrito: La Tinguiña",   3 201,   7 566
110103,"Ica, Ica, distrito: Los Aquijes",   1 207,   5 045
110104,"Ica, Ica, distrito: Ocucaje",192,   1 328
110105,"Ica, Ica, distrito: Pachacutec",397,   1 658
110106,"Ica, Ica, distrito: Parcona",   4 516,   9 615
110107,"Ica, Ica, distrito: Pueblo Nuevo",367,   1 440
110108,"Ica, Ica, distrito: Salas",907,   6 572
110109,"Ica, Ica, distrito: San José de Los Molinos",283,   1 816
110110,"Ica, Ica, distrito: San Juan Bautista",   1 185,   2 723
110111,"Ica, Ica, distrito: Santiago",   1 254,   6 650
110112,"Ica, Ica, distrito: Subtanjalla",   2 517,   5 205
110113,"Ica, Ica, distrito: Tate",226,   1 147
110114,"Ica, Ica, distrito: Yauca del Rosario",12,562
110201,"Ica, Chincha, distrito: Chincha Alta",   5 185,   12 346
110202,"Ica, Chincha, distrito: Alto Laran",263,   1 958
110203,"Ica, Chincha, distrito: Chavin",1,249
110204,"Ica, Chincha, distrito: Chincha Baja",738,   2 865
110205,"Ica, Chincha, distrito: El Carmen",362,   3 041
110206,"Ica, Chincha, distrito: Grocio Prado",   1 276,   5 763
110207,"Ica, Chincha, distrito: Pueblo Nuevo",   3 792,   12 689
110208,"Ica, Chincha, distrito: San Juan de Yanac",2,496
110209,"Ica, Chincha, distrito: San Pedro de Huacarpana",0,390
110210,"Ica, Chincha, distrito: Sunampe",   1 658,   6 204
110211,"Ica, Chincha, distrito: Tambo de Mora",229,   1 245
110301,"Ica, Nasca, distrito: Nasca",   1 816,   6 363
110302,"Ica, Nasca, distrito: Changuillo",10,731
110303,"Ica, Nasca, distrito: El Ingenio",31,992
110304,"Ica, Nasca, distrito: Marcona",   1 647,   2 985
110305,"Ica, Nasca, distrito: Vista Alegre",   1 163,   5 271
110401,"Ica, Palpa, distrito: Palpa",313,   2 074
110402,"Ica, Palpa, distrito: Llipata",16,472
110403,"Ica, Palpa, distrito: Río Grande",42,902
110404,"Ica, Palpa, distrito: Santa Cruz",2,294
110405,"Ica, Palpa, distrito: Tibillo",0,129
110501,"Ica, Pisco, distrito: Pisco",   6 378,   12 576
110502,"Ica, Pisco, distrito: Huancano",15,373
110503,"Ica, Pisco, distrito: Humay",90,   1 609
110504,"Ica, Pisco, distrito: Independencia",300,   3 518
110505,"Ica, Pisco, distrito: Paracas",390,   1 549
110506,"Ica, Pisco, distrito: San Andrés",   1 202,   2 492
110507,"Ica, Pisco, distrito: San Clemente",   1 434,   5 823
110508,"Ica, Pisco, distrito: Tupac Amaru Inca",   1 228,   3 728
120101,"Junín, Huancayo, distrito: Huancayo",   12 820,   21 009
120104,"Junín, Huancayo, distrito: Carhuacallanga",0,251
120105,"Junín, Huancayo, distrito: Chacapampa",0,401
120106,"Junín, Huancayo, distrito: Chicche",0,293
120107,"Junín, Huancayo, distrito: Chilca",   5 045,   19 455
120108,"Junín, Huancayo, distrito: Chongos Alto",47,426
120111,"Junín, Huancayo, distrito: Chupuro",11,559
120112,"Junín, Huancayo, distrito: Colca",0,400
120113,"Junín, Huancayo, distrito: Cullhuas",0,449
120114,"Junín, Huancayo, distrito: El Tambo",   16 698,   29 501
120116,"Junín, Huancayo, distrito: Huacrapuquio",2,463
120117,"Junín, Huancayo, distrito: Hualhuas",170,   1 199
120119,"Junín, Huancayo, distrito: Huancan",   1 029,   5 340
120120,"Junín, Huancayo, distrito: Huasicancha",1,308
120121,"Junín, Huancayo, distrito: Huayucachi",248,   2 424
120122,"Junín, Huancayo, distrito: Ingenio",35,646
120124,"Junín, Huancayo, distrito: Pariahuanca",0,   1 689
120125,"Junín, Huancayo, distrito: Pilcomayo",   1 579,   3 647
120126,"Junín, Huancayo, distrito: Pucara",65,   1 337
120127,"Junín, Huancayo, distrito: Quichuay",25,518
120128,"Junín, Huancayo, distrito: Quilcas",66,   1 095
120129,"Junín, Huancayo, distrito: San Agustín",662,   3 334
120130,"Junín, Huancayo, distrito: San Jerónimo de Tunan",521,   2 603
120132,"Junín, Huancayo, distrito: Saño",176,   1 267
120133,"Junín, Huancayo, distrito: Sapallanga",495,   5 310
120134,"Junín, Huancayo, distrito: Sicaya",681,   3 853
120135,"Junín, Huancayo, distrito: Santo Domingo de Acobamba",0,   1 775
120136,"Junín, Huancayo, distrito: Viques",35,710
120201,"Junín, Concepción, distrito: Concepción",875,   3 436
120202,"Junín, Concepción, distrito: Aco",40,516
120203,"Junín, Concepción, distrito: Andamarca",1,   1 066
120204,"Junín, Concepción, distrito: Chambara",6,808
120205,"Junín, Concepción, distrito: Cochas",0,595
120206,"Junín, Concepción, distrito: Comas",9,   1 647
120207,"Junín, Concepción, distrito: Heroínas Toledo",0,325
120208,"Junín, Concepción, distrito: Manzanares",15,456
120209,"Junín, Concepción, distrito: Mariscal Castilla",1,414
120210,"Junín, Concepción, distrito: Matahuasi",235,   1 326
120211,"Junín, Concepción, distrito: Mito",27,422
120212,"Junín, Concepción, distrito: Nueve de Julio",61,605
120213,"Junín, Concepción, distrito: Orcotuna",129,   1 201
120214,"Junín, Concepción, distrito: San José de Quero",35,   1 531
120215,"Junín, Concepción, distrito: Santa Rosa de Ocopa",68,577
120301,"Junín, Chanchamayo, distrito: Chanchamayo",   1 613,   6 601
120302,"Junín, Chanchamayo, distrito: Perene",568,   14 825
120303,"Junín, Chanchamayo, distrito: Pichanaqui",758,   10 346
120304,"Junín, Chanchamayo, distrito: San Luis de Shuaro",29,   1 412
120305,"Junín, Chanchamayo, distrito: San Ramón",   1 110,   6 658
120306,"Junín, Chanchamayo, distrito: Vitoc",3,557
120401,"Junín, Jauja, distrito: Jauja",935,   3 929
120402,"Junín, Jauja, distrito: Acolla",108,   1 910
120403,"Junín, Jauja, distrito: Apata",20,   1 304
120404,"Junín, Jauja, distrito: Ataura",15,352
120405,"Junín, Jauja, distrito: Canchayllo",6,520
120406,"Junín, Jauja, distrito: Curicaca",58,401
120407,"Junín, Jauja, distrito: El Mantaro",76,718
120408,"Junín, Jauja, distrito: Huamali",52,455
120409,"Junín, Jauja, distrito: Huaripampa",12,321
120410,"Junín, Jauja, distrito: Huertas",42,563
120411,"Junín, Jauja, distrito: Janjaillo",1,218
120412,"Junín, Jauja, distrito: Julcán",20,265
120413,"Junín, Jauja, distrito: Leonor Ordoñez",89,419
120414,"Junín, Jauja, distrito: Llocllapampa",29,357
120415,"Junín, Jauja, distrito: Marco",0,522
120416,"Junín, Jauja, distrito: Masma",4,561
120417,"Junín, Jauja, distrito: Masma Chicche",0,221
120418,"Junín, Jauja, distrito: Molinos",4,515
120419,"Junín, Jauja, distrito: Monobamba",11,490
120420,"Junín, Jauja, distrito: Muqui",8,333
120421,"Junín, Jauja, distrito: Muquiyauyo",96,625
120422,"Junín, Jauja, distrito: Paca",8,320
120423,"Junín, Jauja, distrito: Paccha",4,495
120424,"Junín, Jauja, distrito: Pancan",12,410
120425,"Junín, Jauja, distrito: Parco",14,373
120426,"Junín, Jauja, distrito: Pomacancha",2,436
120427,"Junín, Jauja, distrito: Ricran",16,413
120428,"Junín, Jauja, distrito: San Lorenzo",13,714
120429,"Junín, Jauja, distrito: San Pedro de Chunan",9,201
120430,"Junín, Jauja, distrito: Sausa",88,759
120431,"Junín, Jauja, distrito: Sincos",8,   1 219
120432,"Junín, Jauja, distrito: Tunan Marca",18,346
120433,"Junín, Jauja, distrito: Yauli",8,355
120434,"Junín, Jauja, distrito: Yauyos",324,   2 153
120501,"Junín, Junín, distrito: Junín",223,   3 389
120502,"Junín, Junín, distrito: Carhuamayo",152,   1 794
120503,"Junín, Junín, distrito: Ondores",15,475
120504,"Junín, Junín, distrito: Ulcumayo",5,   1 541
120601,"Junín, Satipo, distrito: Satipo",   1 264,   9 700
120602,"Junín, Satipo, distrito: Coviriali",9,   1 426
120603,"Junín, Satipo, distrito: Llaylla",4,   1 924
120604,"Junín, Satipo, distrito: Mazamari",400,   7 342
120605,"Junín, Satipo, distrito: Pampa Hermosa",0,   1 211
120606,"Junín, Satipo, distrito: Pangoa",369,   13 773
120607,"Junín, Satipo, distrito: Río Negro",124,   6 322
120608,"Junín, Satipo, distrito: Río Tambo",17,   6 854
120609,"Junín, Satipo, distrito: Vizcatan del Ene",1,   1 514
120701,"Junín, Tarma, distrito: Tarma",   3 218,   10 777
120702,"Junín, Tarma, distrito: Acobamba",151,   2 749
120703,"Junín, Tarma, distrito: Huaricolca",23,601
120704,"Junín, Tarma, distrito: Huasahuasi",53,   3 241
120705,"Junín, Tarma, distrito: La Unión",74,873
120706,"Junín, Tarma, distrito: Palca",23,   1 638
120707,"Junín, Tarma, distrito: Palcamayo",19,   1 245
120708,"Junín, Tarma, distrito: San Pedro de Cajas",26,   1 341
120709,"Junín, Tarma, distrito: Tapo",5,   1 371
120801,"Junín, Yauli, distrito: La Oroya",754,   3 223
120802,"Junín, Yauli, distrito: Chacapalpa",1,264
120803,"Junín, Yauli, distrito: Huay-Huay",3,411
120804,"Junín, Yauli, distrito: Marcapomacocha",28,284
120805,"Junín, Yauli, distrito: Morococha",200,714
120806,"Junín, Yauli, distrito: Paccha",13,527
120807,"Junín, Yauli, distrito: Santa Bárbara de Carhuacayan",7,273
120808,"Junín, Yauli, distrito: Santa Rosa de Sacco",433,   2 021
120809,"Junín, Yauli, distrito: Suitucancha",1,239
120810,"Junín, Yauli, distrito: Yauli",385,851
120901,"Junín, Chupaca, distrito: Chupaca",725,   4 998
120902,"Junín, Chupaca, distrito: Ahuac",61,   1 827
120903,"Junín, Chupaca, distrito: Chongos Bajo",95,   1 285
120904,"Junín, Chupaca, distrito: Huachac",62,820
120905,"Junín, Chupaca, distrito: Huamancaca Chico",94,   1 698
120906,"Junín, Chupaca, distrito: San Juan de Iscos",7,749
120907,"Junín, Chupaca, distrito: San Juan de Jarpa",1,920
120908,"Junín, Chupaca, distrito: Tres de Diciembre",50,761
120909,"Junín, Chupaca, distrito: Yanacancha",1,768
130101,"La Libertad, Trujillo, distrito: Trujillo",   50 247,   31 727
130102,"La Libertad, Trujillo, distrito: El Porvenir",   9 916,   40 867
130103,"La Libertad, Trujillo, distrito: Florencia de Mora",   2 990,   5 636
130104,"La Libertad, Trujillo, distrito: Huanchaco",   5 526,   10 952
130105,"La Libertad, Trujillo, distrito: La Esperanza",   16 087,   31 690
130106,"La Libertad, Trujillo, distrito: Laredo",   2 665,   7 266
130107,"La Libertad, Trujillo, distrito: Moche",   3 393,   5 549
130108,"La Libertad, Trujillo, distrito: Poroto",19,956
130109,"La Libertad, Trujillo, distrito: Salaverry",   1 136,   4 082
130110,"La Libertad, Trujillo, distrito: Simbal",121,   1 027
130111,"La Libertad, Trujillo, distrito: Victor Larco Herrera",   11 986,   6 443
130201,"La Libertad, Ascope, distrito: Ascope",351,   1 489
130202,"La Libertad, Ascope, distrito: Chicama",963,   3 184
130203,"La Libertad, Ascope, distrito: Chocope",813,   1 725
130204,"La Libertad, Ascope, distrito: Magdalena de Cao",244,435
130205,"La Libertad, Ascope, distrito: Paijan",   1 479,   5 580
130206,"La Libertad, Ascope, distrito: Razuri",422,   2 041
130207,"La Libertad, Ascope, distrito: Santiago de Cao",   1 829,   3 546
130208,"La Libertad, Ascope, distrito: Casa Grande",   2 333,   5 282
130301,"La Libertad, Bolívar, distrito: Bolívar",21,   1 100
130302,"La Libertad, Bolívar, distrito: Bambamarca",0,766
130303,"La Libertad, Bolívar, distrito: Condormarca",14,512
130304,"La Libertad, Bolívar, distrito: Longotea",7,683
130305,"La Libertad, Bolívar, distrito: Uchumarca",17,658
130306,"La Libertad, Bolívar, distrito: Ucuncha",2,262
130401,"La Libertad, Chepén, distrito: Chepén",   2 910,   9 960
130402,"La Libertad, Chepén, distrito: Pacanga",454,   5 774
130403,"La Libertad, Chepén, distrito: Pueblo Nuevo",501,   2 950
130501,"La Libertad, Julcán, distrito: Julcán",88,   3 829
130502,"La Libertad, Julcán, distrito: Calamarca",38,   1 564
130503,"La Libertad, Julcán, distrito: Carabamba",86,   1 821
130504,"La Libertad, Julcán, distrito: Huaso",2,   1 578
130601,"La Libertad, Otuzco, distrito: Otuzco",385,   7 223
130602,"La Libertad, Otuzco, distrito: Agallpampa",10,   2 703
130604,"La Libertad, Otuzco, distrito: Charat",1,856
130605,"La Libertad, Otuzco, distrito: Huaranchal",11,   1 186
130606,"La Libertad, Otuzco, distrito: La Cuesta",0,214
130608,"La Libertad, Otuzco, distrito: Mache",9,864
130610,"La Libertad, Otuzco, distrito: Paranday",2,146
130611,"La Libertad, Otuzco, distrito: Salpo",6,   1 931
130613,"La Libertad, Otuzco, distrito: Sinsicap",35,   2 075
130614,"La Libertad, Otuzco, distrito: Usquil",40,   6 360
130701,"La Libertad, Pacasmayo, distrito: San Pedro de Lloc",   1 321,   3 572
130702,"La Libertad, Pacasmayo, distrito: Guadalupe",   2 285,   9 411
130703,"La Libertad, Pacasmayo, distrito: Jequetepeque",310,870
130704,"La Libertad, Pacasmayo, distrito: Pacasmayo",   2 190,   5 855
130705,"La Libertad, Pacasmayo, distrito: San José",572,   3 053
130801,"La Libertad, Pataz, distrito: Tayabamba",52,   3 490
130802,"La Libertad, Pataz, distrito: Buldibuyo",5,   1 026
130803,"La Libertad, Pataz, distrito: Chillia",14,   2 786
130804,"La Libertad, Pataz, distrito: Huancaspata",6,   1 694
130805,"La Libertad, Pataz, distrito: Huaylillas",0,351
130806,"La Libertad, Pataz, distrito: Huayo",0,879
130807,"La Libertad, Pataz, distrito: Ongon",0,379
130808,"La Libertad, Pataz, distrito: Parcoy",237,   3 207
130809,"La Libertad, Pataz, distrito: Pataz",169,   1 936
130810,"La Libertad, Pataz, distrito: Pias",2,493
130811,"La Libertad, Pataz, distrito: Santiago de Challas",2,718
130812,"La Libertad, Pataz, distrito: Taurija",3,774
130813,"La Libertad, Pataz, distrito: Urpay",1,647
130901,"La Libertad, Sánchez Carrión, distrito: Huamachuco",   1 294,   16 222
130902,"La Libertad, Sánchez Carrión, distrito: Chugay",118,   4 696
130903,"La Libertad, Sánchez Carrión, distrito: Cochorco",4,   2 274
130904,"La Libertad, Sánchez Carrión, distrito: Curgos",13,   2 207
130905,"La Libertad, Sánchez Carrión, distrito: Marcabal",20,   2 864
130906,"La Libertad, Sánchez Carrión, distrito: Sanagoran",10,   3 453
130907,"La Libertad, Sánchez Carrión, distrito: Sarin",5,   2 420
130908,"La Libertad, Sánchez Carrión, distrito: Sartimbamba",19,   3 262
131001,"La Libertad, Santiago de Chuco, distrito: Santiago de Chuco",79,   5 373
131002,"La Libertad, Santiago de Chuco, distrito: Angasmarca",71,   1 270
131003,"La Libertad, Santiago de Chuco, distrito: Cachicadan",12,   1 450
131004,"La Libertad, Santiago de Chuco, distrito: Mollebamba",14,544
131005,"La Libertad, Santiago de Chuco, distrito: Mollepata",52,679
131006,"La Libertad, Santiago de Chuco, distrito: Quiruvilca",152,   2 924
131007,"La Libertad, Santiago de Chuco, distrito: Santa Cruz de Chuca",1,847
131008,"La Libertad, Santiago de Chuco, distrito: Sitabamba",1,893
131101,"La Libertad, Gran Chimú, distrito: Cascas",240,   3 833
131102,"La Libertad, Gran Chimú, distrito: Lucma",0,   1 465
131103,"La Libertad, Gran Chimú, distrito: Marmot",1,715
131104,"La Libertad, Gran Chimú, distrito: Sayapullo",17,   1 688
131201,"La Libertad, Virú, distrito: Virú",   1 443,   11 206
131202,"La Libertad, Virú, distrito: Chao",   1 248,   7 093
131203,"La Libertad, Virú, distrito: Guadalupito",240,   1 634
140101,"Lambayeque, Chiclayo, distrito: Chiclayo",   34 516,   36 292
140102,"Lambayeque, Chiclayo, distrito: Chongoyape",568,   4 727
140103,"Lambayeque, Chiclayo, distrito: Eten",797,   2 299
140104,"Lambayeque, Chiclayo, distrito: Eten Puerto",167,500
140105,"Lambayeque, Chiclayo, distrito: José Leonardo Ortiz",   13 405,   26 030
140106,"Lambayeque, Chiclayo, distrito: La Victoria",   7 997,   14 537
140107,"Lambayeque, Chiclayo, distrito: Lagunas",343,   2 532
140108,"Lambayeque, Chiclayo, distrito: Monsefu",   1 577,   6 263
140109,"Lambayeque, Chiclayo, distrito: Nueva Arica",20,804
140110,"Lambayeque, Chiclayo, distrito: Oyotun",139,   2 486
140111,"Lambayeque, Chiclayo, distrito: Picsi",770,   1 474
140112,"Lambayeque, Chiclayo, distrito: Pimentel",   5 050,   6 886
140113,"Lambayeque, Chiclayo, distrito: Reque",   1 194,   3 109
140114,"Lambayeque, Chiclayo, distrito: Santa Rosa",880,   2 119
140115,"Lambayeque, Chiclayo, distrito: Saña",527,   2 932
140116,"Lambayeque, Chiclayo, distrito: Cayalti",402,   4 114
140117,"Lambayeque, Chiclayo, distrito: Patapo",   1 946,   4 108
140118,"Lambayeque, Chiclayo, distrito: Pomalca",   1 872,   4 944
140119,"Lambayeque, Chiclayo, distrito: Pucala",513,   2 053
140120,"Lambayeque, Chiclayo, distrito: Tuman",   1 857,   5 782
140201,"Lambayeque, Ferreñafe, distrito: Ferreñafe",   2 400,   6 592
140202,"Lambayeque, Ferreñafe, distrito: Cañaris",3,   2 745
140203,"Lambayeque, Ferreñafe, distrito: Incahuasi",1,   3 478
140204,"Lambayeque, Ferreñafe, distrito: Manuel Antonio Mesones Muro",138,910
140205,"Lambayeque, Ferreñafe, distrito: Pitipo",648,   4 730
140206,"Lambayeque, Ferreñafe, distrito: Pueblo Nuevo",611,   3 165
140301,"Lambayeque, Lambayeque, distrito: Lambayeque",   6 280,   12 224
140302,"Lambayeque, Lambayeque, distrito: Chochope",17,394
140303,"Lambayeque, Lambayeque, distrito: Illimo",260,   1 986
140304,"Lambayeque, Lambayeque, distrito: Jayanca",260,   4 294
140305,"Lambayeque, Lambayeque, distrito: Mochumi",330,   4 379
140306,"Lambayeque, Lambayeque, distrito: Morrope",542,   9 810
140307,"Lambayeque, Lambayeque, distrito: Motupe",640,   7 166
140308,"Lambayeque, Lambayeque, distrito: Olmos",859,   10 931
140309,"Lambayeque, Lambayeque, distrito: Pacora",308,   1 908
140310,"Lambayeque, Lambayeque, distrito: Salas",32,   3 521
140311,"Lambayeque, Lambayeque, distrito: San José",567,   3 246
140312,"Lambayeque, Lambayeque, distrito: Tucume",332,   4 749
150101,"Lima, Lima, distrito: Lima",   44 853,   33 812
150102,"Lima, Lima, distrito: Ancón",   5 061,   12 393
150103,"Lima, Lima, distrito: Ate",   64 090,   100 895
150104,"Lima, Lima, distrito: Barranco",   8 593,   2 884
150105,"Lima, Lima, distrito: Breña",   16 943,   8 551
150106,"Lima, Lima, distrito: Carabayllo",   28 237,   58 610
150107,"Lima, Lima, distrito: Chaclacayo",   6 036,   5 197
150108,"Lima, Lima, distrito: Chorrillos",   45 226,   37 743
150109,"Lima, Lima, distrito: Cieneguilla",   2 254,   7 369
