Código,Distrito,Sí tiene conexión a internet,No tiene conexión a internet
21510,"Áncash, Pallasca, distrito: Santa Rosa",2,322
21511,"Áncash, Pallasca, distrito: Tauca",13,776
21601,"Áncash, Pomabamba, distrito: Pomabamba",106,   3 953
21602,"Áncash, Pomabamba, distrito: Huayllan",10,906
21603,"Áncash, Pomabamba, distrito: Parobamba",2,   1 653
21604,"Áncash, Pomabamba, distrito: Quinuabamba",0,656
21701,"Áncash, Recuay, distrito: Recuay",141,   1 220
21702,"Áncash, Recuay, distrito: Catac",30,   1 103
21703,"Áncash, Recuay, distrito: Cotaparaco",3,118
21704,"Áncash, Recuay, distrito: Huayllapampa",4,260
21705,"Áncash, Recuay, distrito: Llacllin",3,316
21706,"Áncash, Recuay, distrito: Marca",0,447
21707,"Áncash, Recuay, distrito: Pampas Chico",2,349
21708,"Áncash, Recuay, distrito: Pararin",1,509
21709,"Áncash, Recuay, distrito: Tapacocha",1,148
21710,"Áncash, Recuay, distrito: Ticapampa",46,722
21801,"Áncash, Santa, distrito: Chimbote",   17 588,   36 673
21802,"Áncash, Santa, distrito: Cáceres del Perú",18,   1 405
21803,"Áncash, Santa, distrito: Coishco",   1 269,   3 065
21804,"Áncash, Santa, distrito: Macate",5,983
21805,"Áncash, Santa, distrito: Moro",80,   2 420
21806,"Áncash, Santa, distrito: Nepeña",956,   3 176
21807,"Áncash, Santa, distrito: Samanco",168,   1 326
21808,"Áncash, Santa, distrito: Santa",   1 086,   4 103
21809,"Áncash, Santa, distrito: Nuevo Chimbote",   16 552,   33 043
21901,"Áncash, Sihuas, distrito: Sihuas",155,   1 438
21902,"Áncash, Sihuas, distrito: Acobamba",0,416
21903,"Áncash, Sihuas, distrito: Alfonso Ugarte",0,164
21904,"Áncash, Sihuas, distrito: Cashapampa",19,805
21905,"Áncash, Sihuas, distrito: Chingalpo",0,263
21906,"Áncash, Sihuas, distrito: Huayllabamba",1,   1 010
21907,"Áncash, Sihuas, distrito: Quiches",1,682
21908,"Áncash, Sihuas, distrito: Ragash",1,666
21909,"Áncash, Sihuas, distrito: San Juan",98,   1 657
21910,"Áncash, Sihuas, distrito: Sicsibamba",0,499
22001,"Áncash, Yungay, distrito: Yungay",445,   5 409
22002,"Áncash, Yungay, distrito: Cascapara",0,478
22003,"Áncash, Yungay, distrito: Mancos",64,   1 953
22004,"Áncash, Yungay, distrito: Matacoto",21,366
22005,"Áncash, Yungay, distrito: Quillo",64,   3 143
22006,"Áncash, Yungay, distrito: Ranrahirca",36,770
22007,"Áncash, Yungay, distrito: Shupluy",3,504
22008,"Áncash, Yungay, distrito: Yanama",9,   1 578
30101,"Apurímac, Abancay, distrito: Abancay",   5 578,   14 882
30102,"Apurímac, Abancay, distrito: Chacoche",1,492
30103,"Apurímac, Abancay, distrito: Circa",3,814
30104,"Apurímac, Abancay, distrito: Curahuasi",205,   4 803
30105,"Apurímac, Abancay, distrito: Huanipaca",0,   1 085
30106,"Apurímac, Abancay, distrito: Lambrama",19,   1 213
30107,"Apurímac, Abancay, distrito: Pichirhua",2,   1 035
30108,"Apurímac, Abancay, distrito: San Pedro de Cachora",11,832
30109,"Apurímac, Abancay, distrito: Tamburco",668,   2 627
30201,"Apurímac, Andahuaylas, distrito: Andahuaylas",   2 323,   9 887
30202,"Apurímac, Andahuaylas, distrito: Andarapa",1,   1 771
30203,"Apurímac, Andahuaylas, distrito: Chiara",0,429
30204,"Apurímac, Andahuaylas, distrito: Huancarama",23,   1 600
30205,"Apurímac, Andahuaylas, distrito: Huancaray",2,   1 272
30206,"Apurímac, Andahuaylas, distrito: Huayana",3,259
30207,"Apurímac, Andahuaylas, distrito: Kishuara",15,   1 798
30208,"Apurímac, Andahuaylas, distrito: Pacobamba",9,   1 156
30209,"Apurímac, Andahuaylas, distrito: Pacucha",62,   2 298
30210,"Apurímac, Andahuaylas, distrito: Pampachiri",3,724
30211,"Apurímac, Andahuaylas, distrito: Pomacocha",5,298
30212,"Apurímac, Andahuaylas, distrito: San Antonio de Cachi",1,   1 042
30213,"Apurímac, Andahuaylas, distrito: San Jerónimo",631,   5 029
30214,"Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa",0,503
30215,"Apurímac, Andahuaylas, distrito: Santa María de Chicmo",25,   2 446
30216,"Apurímac, Andahuaylas, distrito: Talavera",775,   4 586
30217,"Apurímac, Andahuaylas, distrito: Tumay Huaraca",0,661
30218,"Apurímac, Andahuaylas, distrito: Turpo",2,   1 193
30219,"Apurímac, Andahuaylas, distrito: Kaquiabamba",0,588
30220,"Apurímac, Andahuaylas, distrito: José María Arguedas",44,   1 083
30301,"Apurímac, Antabamba, distrito: Antabamba",10,   1 040
30302,"Apurímac, Antabamba, distrito: El Oro",0,281
30303,"Apurímac, Antabamba, distrito: Huaquirca",3,495
30304,"Apurímac, Antabamba, distrito: Juan Espinoza Medrano",2,683
30305,"Apurímac, Antabamba, distrito: Oropesa",1,751
30306,"Apurímac, Antabamba, distrito: Pachaconas",0,390
30307,"Apurímac, Antabamba, distrito: Sabaino",0,424
30401,"Apurímac, Aymaraes, distrito: Chalhuanca",93,   1 385
30402,"Apurímac, Aymaraes, distrito: Capaya",1,236
30403,"Apurímac, Aymaraes, distrito: Caraybamba",1,368
30404,"Apurímac, Aymaraes, distrito: Chapimarca",6,721
30405,"Apurímac, Aymaraes, distrito: Colcabamba",0,268
30406,"Apurímac, Aymaraes, distrito: Cotaruse",0,818
30407,"Apurímac, Aymaraes, distrito: Ihuayllo",0,195
30408,"Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura",0,300
30409,"Apurímac, Aymaraes, distrito: Lucre",12,510
30410,"Apurímac, Aymaraes, distrito: Pocohuanca",1,419
30411,"Apurímac, Aymaraes, distrito: San Juan de Chacña",17,246
30412,"Apurímac, Aymaraes, distrito: Sañayca",25,384
30413,"Apurímac, Aymaraes, distrito: Soraya",10,265
30414,"Apurímac, Aymaraes, distrito: Tapairihua",0,727
30415,"Apurímac, Aymaraes, distrito: Tintay",71,778
30416,"Apurímac, Aymaraes, distrito: Toraya",13,508
30417,"Apurímac, Aymaraes, distrito: Yanaca",0,367
30501,"Apurímac, Cotabambas, distrito: Tambobamba",64,   3 171
30502,"Apurímac, Cotabambas, distrito: Cotabambas",7,   1 252
30503,"Apurímac, Cotabambas, distrito: Coyllurqui",19,   2 114
30504,"Apurímac, Cotabambas, distrito: Haquira",66,   3 203
30505,"Apurímac, Cotabambas, distrito: Mara",10,   1 815
30506,"Apurímac, Cotabambas, distrito: Challhuahuacho",140,   3 387
30601,"Apurímac, Chincheros, distrito: Chincheros",68,   1 549
30602,"Apurímac, Chincheros, distrito: Anco_Huallo",91,   3 055
30603,"Apurímac, Chincheros, distrito: Cocharcas",1,582
30604,"Apurímac, Chincheros, distrito: Huaccana",30,   1 992
30605,"Apurímac, Chincheros, distrito: Ocobamba",22,   2 096
30606,"Apurímac, Chincheros, distrito: Ongoy",4,737
30607,"Apurímac, Chincheros, distrito: Uranmarca",1,837
30608,"Apurímac, Chincheros, distrito: Ranracancha",2,   1 120
30609,"Apurímac, Chincheros, distrito: Rocchacc",2,783
30610,"Apurímac, Chincheros, distrito: El Porvenir",14,506
30611,"Apurímac, Chincheros, distrito: Los Chankas",4,301
30701,"Apurímac, Grau, distrito: Chuquibambilla",7,   1 599
30702,"Apurímac, Grau, distrito: Curpahuasi",1,716
30703,"Apurímac, Grau, distrito: Gamarra",0,980
30704,"Apurímac, Grau, distrito: Huayllati",1,461
30705,"Apurímac, Grau, distrito: Mamara",0,334
30706,"Apurímac, Grau, distrito: Micaela Bastidas",0,307
30707,"Apurímac, Grau, distrito: Pataypampa",0,296
30708,"Apurímac, Grau, distrito: Progreso",5,909
30709,"Apurímac, Grau, distrito: San Antonio",0,130
30710,"Apurímac, Grau, distrito: Santa Rosa",0,234
30711,"Apurímac, Grau, distrito: Turpay",9,257
30712,"Apurímac, Grau, distrito: Vilcabamba",4,480
30713,"Apurímac, Grau, distrito: Virundo",2,241
30714,"Apurímac, Grau, distrito: Curasco",0,388
40101,"Arequipa, Arequipa, distrito: Arequipa",   11 216,   5 032
40102,"Arequipa, Arequipa, distrito: Alto Selva Alegre",   11 002,   13 752
40103,"Arequipa, Arequipa, distrito: Cayma",   11 234,   16 631
40104,"Arequipa, Arequipa, distrito: Cerro Colorado",   19 376,   44 298
40105,"Arequipa, Arequipa, distrito: Characato",924,   3 203
40106,"Arequipa, Arequipa, distrito: Chiguata",108,944
40107,"Arequipa, Arequipa, distrito: Jacobo Hunter",   5 127,   8 307
40108,"Arequipa, Arequipa, distrito: La Joya",   1 398,   10 373
40109,"Arequipa, Arequipa, distrito: Mariano Melgar",   6 819,   11 672
40110,"Arequipa, Arequipa, distrito: Miraflores",   7 960,   9 931
40111,"Arequipa, Arequipa, distrito: Mollebaya",306,   1 685
40112,"Arequipa, Arequipa, distrito: Paucarpata",   14 472,   21 283
40113,"Arequipa, Arequipa, distrito: Pocsi",0,207
40114,"Arequipa, Arequipa, distrito: Polobaya",7,329
40115,"Arequipa, Arequipa, distrito: Quequeña",217,   2 236
40116,"Arequipa, Arequipa, distrito: Sabandia",467,803
40117,"Arequipa, Arequipa, distrito: Sachaca",   3 035,   3 856
40118,"Arequipa, Arequipa, distrito: San Juan de Siguas",17,197
40119,"Arequipa, Arequipa, distrito: San Juan de Tarucani",32,531
40120,"Arequipa, Arequipa, distrito: Santa Isabel de Siguas",3,248
40121,"Arequipa, Arequipa, distrito: Santa Rita de Siguas",297,   1 464
40122,"Arequipa, Arequipa, distrito: Socabaya",   7 955,   12 908
40123,"Arequipa, Arequipa, distrito: Tiabaya",   1 212,   3 131
40124,"Arequipa, Arequipa, distrito: Uchumayo",   1 304,   2 966
40125,"Arequipa, Arequipa, distrito: Vitor",102,   1 521
40126,"Arequipa, Arequipa, distrito: Yanahuara",   6 227,   1 760
40127,"Arequipa, Arequipa, distrito: Yarabamba",59,515
40128,"Arequipa, Arequipa, distrito: Yura",   1 506,   11 673
40129,"Arequipa, Arequipa, distrito: José Luis Bustamante Y Rivero",   14 546,   9 376
40201,"Arequipa, Camaná, distrito: Camaná",   1 301,   2 782
40202,"Arequipa, Camaná, distrito: José María Quimper",292,   1 148
40203,"Arequipa, Camaná, distrito: Mariano Nicolás Valcárcel",63,   2 507
40204,"Arequipa, Camaná, distrito: Mariscal Cáceres",215,   1 661
40205,"Arequipa, Camaná, distrito: Nicolás de Pierola",476,   1 868
40206,"Arequipa, Camaná, distrito: Ocoña",122,   1 254
40207,"Arequipa, Camaná, distrito: Quilca",20,302
40208,"Arequipa, Camaná, distrito: Samuel Pastor",795,   4 263
40301,"Arequipa, Caravelí, distrito: Caravelí",144,982
40302,"Arequipa, Caravelí, distrito: Acarí",103,   1 412
40303,"Arequipa, Caravelí, distrito: Atico",244,   1 316
40304,"Arequipa, Caravelí, distrito: Atiquipa",6,160
40305,"Arequipa, Caravelí, distrito: Bella Unión",204,751
40306,"Arequipa, Caravelí, distrito: Cahuacho",1,214
40307,"Arequipa, Caravelí, distrito: Chala",378,   2 250
40308,"Arequipa, Caravelí, distrito: Chaparra",21,985
40309,"Arequipa, Caravelí, distrito: Huanuhuanu",32,813
40310,"Arequipa, Caravelí, distrito: Jaqui",40,489
40311,"Arequipa, Caravelí, distrito: Lomas",97,370
40312,"Arequipa, Caravelí, distrito: Quicacha",2,618
40313,"Arequipa, Caravelí, distrito: Yauca",40,594
40401,"Arequipa, Castilla, distrito: Aplao",395,   2 389
40402,"Arequipa, Castilla, distrito: Andagua",0,345
40403,"Arequipa, Castilla, distrito: Ayo",3,112
40404,"Arequipa, Castilla, distrito: Chachas",2,496
40405,"Arequipa, Castilla, distrito: Chilcaymarca",6,298
40406,"Arequipa, Castilla, distrito: Choco",0,299
40407,"Arequipa, Castilla, distrito: Huancarqui",38,478
40408,"Arequipa, Castilla, distrito: Machaguay",15,206
40409,"Arequipa, Castilla, distrito: Orcopampa",344,   1 934
40410,"Arequipa, Castilla, distrito: Pampacolca",69,659
40411,"Arequipa, Castilla, distrito: Tipan",2,173
40412,"Arequipa, Castilla, distrito: Uñon",5,71
40413,"Arequipa, Castilla, distrito: Uraca",311,   1 604
40414,"Arequipa, Castilla, distrito: Viraco",40,503
40501,"Arequipa, Caylloma, distrito: Chivay",149,   1 632
40502,"Arequipa, Caylloma, distrito: Achoma",4,370
40503,"Arequipa, Caylloma, distrito: Cabanaconde",5,741
40504,"Arequipa, Caylloma, distrito: Callalli",29,601
40505,"Arequipa, Caylloma, distrito: Caylloma",25,756
40506,"Arequipa, Caylloma, distrito: Coporaque",28,362
40507,"Arequipa, Caylloma, distrito: Huambo",1,300
40508,"Arequipa, Caylloma, distrito: Huanca",7,403
40509,"Arequipa, Caylloma, distrito: Ichupampa",1,232
40510,"Arequipa, Caylloma, distrito: Lari",25,318
40511,"Arequipa, Caylloma, distrito: Lluta",0,345
40512,"Arequipa, Caylloma, distrito: Maca",2,301
40513,"Arequipa, Caylloma, distrito: Madrigal",1,276
40514,"Arequipa, Caylloma, distrito: San Antonio de Chuca",2,343
40515,"Arequipa, Caylloma, distrito: Sibayo",6,251
